date,away_team,home_team,home_wins,home_recent_form,away_recent_form,form_advantage,home_recent_games,away_recent_games,h2h_home_advantage,home_run_diff,away_run_diff,run_diff_advantage,home_field
2025-08-19,Baltimore Orioles,Boston Red Sox,0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3,3,0.0,-1.0,4.666666666666667,-5.666666666666667,1
2025-08-19,Houston Astros,Detroit Tigers,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,3,1.0,2.0,-7.0,9.0,1
2025-08-19,New York Yankees,Tampa Bay Rays,0,0.5,1.0,-0.5,2,2,0.5,-2.5,4.0,-6.5,1
2025-08-19,Chicago White Sox,Atlanta Braves,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,3,0.0,2.0,-1.3333333333333333,3.333333333333333,1
2025-08-19,San Francisco Giants,San Diego Padres,1,0.0,0.6666666666666666,-0.6666666666666666,3,3,0.0,-2.6666666666666665,2.0,-4.666666666666666,1
2025-08-19,Cleveland Guardians,Arizona Diamondbacks,1,0.0,0.3333333333333333,-0.3333333333333333,3,3,0.0,-2.0,-2.6666666666666665,0.6666666666666665,1
2025-08-19,Cincinnati Reds,Los Angeles Angels,0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3,3,0.0,-0.6666666666666666,1.0,-1.6666666666666665,1
2025-08-19,St. Louis Cardinals,Miami Marlins,0,0.3333333333333333,0.3333333333333333,0.0,3,3,0.0,-1.6666666666666667,-1.0,-0.6666666666666667,1
2025-08-19,Athletics,Minnesota Twins,0,0.5,0.5,0.0,2,2,0.5,2.0,-0.5,2.5,1
2025-08-19,Texas Rangers,Kansas City Royals,1,1.0,0.3333333333333333,0.6666666666666667,3,3,1.0,3.0,-2.3333333333333335,5.333333333333334,1
2025-08-19,Los Angeles Dodgers,Colorado Rockies,0,1.0,0.6666666666666666,0.33333333333333337,3,3,1.0,1.6666666666666667,2.0,-0.33333333333333326,1
2025-08-20,Cleveland Guardians,Arizona Diamondbacks,1,0.25,0.25,0.0,4,4,0.5,-1.25,-2.25,1.0,1
2025-08-20,San Francisco Giants,San Diego Padres,1,0.25,0.5,-0.25,4,4,0.5,-1.0,0.5,-1.5,1
2025-08-20,Los Angeles Dodgers,Colorado Rockies,1,0.75,0.75,0.0,4,4,0.5,-0.5,3.25,-3.75,1
2025-08-20,Milwaukee Brewers,Chicago Cubs,1,0.8,0.4,0.4,5,5,0.6666666666666666,0.2,0.4,-0.2,1
2025-08-20,Athletics,Minnesota Twins,0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3,3,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1
2025-08-20,Texas Rangers,Kansas City Royals,0,1.0,0.25,0.75,4,4,1.0,3.0,-2.5,5.5,1
