date,season,home_team,away_team,home_wins,home_win_rate,away_win_rate,win_rate_advantage,home_runs_per_game,away_runs_per_game,home_runs_allowed_per_game,away_runs_allowed_per_game,offensive_advantage,defensive_advantage,home_run_differential,away_run_differential,run_diff_advantage,h2h_advantage,is_early_season,is_late_season,home_field
2022-04-10,2022,Toronto Blue Jays,Texas Rangers,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-11,2022,Philadelphia Phillies,New York Mets,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-11,2022,Atlanta Braves,Washington Nationals,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-11,2022,New York Yankees,Toronto Blue Jays,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-11,2022,Tampa Bay Rays,Oakland Athletics,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-11,2022,Minnesota Twins,Seattle Mariners,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1,0,1
2022-04-11,2022,Texas Rangers,Colorado Rockies,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-11,2022,Baltimore Orioles,Milwaukee Brewers,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-11,2022,Kansas City Royals,Cleveland Guardians,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1,0,1
2022-04-11,2022,Detroit Tigers,Boston Red Sox,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-12,2022,St. Louis Cardinals,Kansas City Royals,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-12,2022,Minnesota Twins,Los Angeles Dodgers,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-12,2022,Atlanta Braves,Washington Nationals,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-12,2022,Los Angeles Angels,Miami Marlins,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-12,2022,Baltimore Orioles,Milwaukee Brewers,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-12,2022,Philadelphia Phillies,New York Mets,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-12,2022,New York Yankees,Toronto Blue Jays,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-12,2022,Pittsburgh Pirates,Chicago Cubs,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-12,2022,Chicago White Sox,Seattle Mariners,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-12,2022,Cincinnati Reds,Cleveland Guardians,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-12,2022,Detroit Tigers,Boston Red Sox,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
